gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal,69.0,Personal Travel,116.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,14.0,0.0,Dissatisfied
Male,Disloyal,41.0,Business travel,1597.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,Neutral
Male,Loyal,52.0,Business travel,1597.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,6.0,Dissatisfied
Female,Disloyal,21.0,Business travel,1597.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,Neutral
Female,Loyal,57.0,Business travel,1597.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,0.0,0.0,Dissatisfied
Female,Loyal,45.0,Business travel,1597.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,0.0,21.0,Satisfied
Female,Loyal,39.0,Business travel,116.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,Satisfied
Female,Loyal,33.0,Business travel,116.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,0.0,0.0,Satisfied
Female,Loyal,43.0,Personal Travel,1597.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,0.0,0.0,Dissatisfied
Male,Loyal,55.0,Business travel,116.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,10.0,12.0,Satisfied
Male,Loyal,59.0,Business travel,116.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,Neutral
Female,Loyal,53.0,Business travel,116.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,Neutral
Female,Loyal,56.0,Business travel,116.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,Dissatisfied
Male,Loyal,47.0,Business travel,116.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,0.0,0.0,Satisfied
Female,Loyal,54.0,Business travel,116.0,1.0,5.0,5.0,4.0,4.0,1.0,3.0,36.0,16.0,Dissatisfied
